Product_name,Product_link,product_rating,product_price,product_sold,crawl_timestamp
Túi đeo chéo nam nữ unisex vải cao cấp đẹp chống nước balo 1 quai thể thao đựng ipad đeo vai cá tính DW9075,https://shopee.vn/T%C3%BAi-%C4%91eo-ch%C3%A9o-nam-n%E1%BB%AF-unisex-v%E1%BA%A3i-cao-c%E1%BA%A5p-%C4%91%E1%BA%B9p-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-balo-1-quai-th%E1%BB%83-thao-%C4%91%E1%BB%B1ng-ipad-%C4%91eo-vai-c%C3%A1-t%C3%ADnh-DW9075-i.55746979.3570929298?sp_atk=a4be62a6-078d-41b7-bbda-5162f53a60b9&xptdk=a4be62a6-078d-41b7-bbda-5162f53a60b9,4.9,,648,2023-10-08 15:32:04.477233+07:00
Balo Laptop thời trang du lịch nam nữ đi học đi làm họa tiết nhiều màu Reputation,https://shopee.vn/Balo-Laptop-th%E1%BB%9Di-trang-du-l%E1%BB%8Bch-nam-n%E1%BB%AF-%C4%91i-h%E1%BB%8Dc-%C4%91i-l%C3%A0m-h%E1%BB%8Da-ti%E1%BA%BFt-nhi%E1%BB%81u-m%C3%A0u-Reputation-i.230791108.5938800076?sp_atk=7681fa00-4e16-44a3-ae84-99474f69c071&xptdk=7681fa00-4e16-44a3-ae84-99474f69c071,5.0,,121,2023-10-08 15:32:09.418617+07:00
Túi Đựng Laptop Thiết Kế Mới Thời Trang Theo Phong Cách Hàn Quốc,https://shopee.vn/T%C3%BAi-%C4%90%E1%BB%B1ng-Laptop-Thi%E1%BA%BFt-K%E1%BA%BF-M%E1%BB%9Bi-Th%E1%BB%9Di-Trang-Theo-Phong-C%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c-i.346432192.18749532597?sp_atk=47e15948-71c3-4a6d-99ab-6a4d406abe71&xptdk=47e15948-71c3-4a6d-99ab-6a4d406abe71,4.6,,62,2023-10-08 15:32:14.198454+07:00
"Balo Laptop, Cặp Đựng Máy Tính Cá Nhân KT 41 x 28 x 12 cm Đẹp Và Chống Sốc Giá Rẻ",https://shopee.vn/Balo-Laptop-C%E1%BA%B7p-%C4%90%E1%BB%B1ng-M%C3%A1y-T%C3%ADnh-C%C3%A1-Nh%C3%A2n-KT-41-x-28-x-12-cm-%C4%90%E1%BA%B9p-V%C3%A0-Ch%E1%BB%91ng-S%E1%BB%91c-Gi%C3%A1-R%E1%BA%BB-i.420073099.22527280115?sp_atk=cb9daedc-b8a1-43c7-9677-3d7a775e8b3a&xptdk=cb9daedc-b8a1-43c7-9677-3d7a775e8b3a,4.4,,753,2023-10-08 15:32:17.996953+07:00
Balo đi học thời trang Nam nữ chống nước đựng laptop Season 9 Local Brand Midori M Studio,https://shopee.vn/Balo-%C4%91i-h%E1%BB%8Dc-th%E1%BB%9Di-trang-Nam-n%E1%BB%AF-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-%C4%91%E1%BB%B1ng-laptop-Season-9-Local-Brand-Midori-M-Studio-i.68467125.9926779009?sp_atk=41a6ee50-6157-4f92-8346-af1117e92d92&xptdk=41a6ee50-6157-4f92-8346-af1117e92d92,4.8,₫600.000,95,2023-10-08 15:32:21.906294+07:00
50x37cm Balo Laptop Siêu Rộng Du Lịch Nam Nữ Chất Lượng ĐI Học Đi Làm 4 Tầng Rộng Nhiều Màu - MP19B,https://shopee.vn/50x37cm-Balo-Laptop-Si%C3%AAu-R%E1%BB%99ng-Du-L%E1%BB%8Bch-Nam-N%E1%BB%AF-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-%C4%90I-H%E1%BB%8Dc-%C4%90i-L%C3%A0m-4-T%E1%BA%A7ng-R%E1%BB%99ng-Nhi%E1%BB%81u-M%C3%A0u-MP19B-i.147145839.2834748046?sp_atk=306ad40d-b5d0-4811-b484-9677b2db4a7b&xptdk=306ad40d-b5d0-4811-b484-9677b2db4a7b,4.9,,1000,2023-10-08 15:32:25.844033+07:00
50x37cm (Giá Gốc 325K) Balo Laptop Siêu Rộng Du Lịch Nam Nữ Chất Lượng Đi Học Đi Làm 4 Tầng Rộng Nhiều Màu - MP19,https://shopee.vn/50x37cm-(Gi%C3%A1-G%E1%BB%91c-325K)-Balo-Laptop-Si%C3%AAu-R%E1%BB%99ng-Du-L%E1%BB%8Bch-Nam-N%E1%BB%AF-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-%C4%90i-H%E1%BB%8Dc-%C4%90i-L%C3%A0m-4-T%E1%BA%A7ng-R%E1%BB%99ng-Nhi%E1%BB%81u-M%C3%A0u-MP19-i.147145839.2700901556?sp_atk=15a74933-9f9a-4805-ba88-2db22b658cdd&xptdk=15a74933-9f9a-4805-ba88-2db22b658cdd,4.9,,6000,2023-10-08 15:32:29.562272+07:00
"Balo Cặp Đựng laptop nam nữ 15 6 inch chống sốc, túi đựng máy tính rẻ đẹp thời trang có cổng sạc usb tiện lợi",https://shopee.vn/Balo-C%E1%BA%B7p-%C4%90%E1%BB%B1ng-laptop-nam-n%E1%BB%AF-15-6-inch-ch%E1%BB%91ng-s%E1%BB%91c-t%C3%BAi-%C4%91%E1%BB%B1ng-m%C3%A1y-t%C3%ADnh-r%E1%BA%BB-%C4%91%E1%BA%B9p-th%E1%BB%9Di-trang-c%C3%B3-c%E1%BB%95ng-s%E1%BA%A1c-usb-ti%E1%BB%87n-l%E1%BB%A3i-i.161380883.16072907237?sp_atk=0a774811-1d8c-4b79-a204-143c9e3944c1&xptdk=0a774811-1d8c-4b79-a204-143c9e3944c1,4.6,,147,2023-10-08 15:32:33.302143+07:00
Balo BAMA Border Backpack,https://shopee.vn/Balo-BAMA-Border-Backpack-i.63351086.17478287414?sp_atk=ca081067-ab7d-44b0-8c10-9e9163069cac&xptdk=ca081067-ab7d-44b0-8c10-9e9163069cac,4.9,,9000,2023-10-08 15:32:37.070907+07:00
"[Xả Kho VNXK - Hàng Độc Quyền] 🔥 FREESHIP 🔥 Balo laptop thời trang nam nữ phong cách trẻ trung, năng động",https://shopee.vn/-X%E1%BA%A3-Kho-VNXK-H%C3%A0ng-%C4%90%E1%BB%99c-Quy%E1%BB%81n-%F0%9F%94%A5-FREESHIP-%F0%9F%94%A5-Balo-laptop-th%E1%BB%9Di-trang-nam-n%E1%BB%AF-phong-c%C3%A1ch-tr%E1%BA%BB-trung-n%C4%83ng-%C4%91%E1%BB%99ng-i.74267239.11705294826?sp_atk=6262899b-f90e-42b8-a68b-efe80bf0b514&xptdk=6262899b-f90e-42b8-a68b-efe80bf0b514,4.8,₫350.000,30,2023-10-08 15:32:40.796228+07:00
Balo đi học nam nữ nhiều ngăn du lịch đi chơi chống nước chống sốc thời trang thể thao túi đựng laptop 15 6 inch 181BL2,https://shopee.vn/Balo-%C4%91i-h%E1%BB%8Dc-nam-n%E1%BB%AF-nhi%E1%BB%81u-ng%C4%83n-du-l%E1%BB%8Bch-%C4%91i-ch%C6%A1i-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-ch%E1%BB%91ng-s%E1%BB%91c-th%E1%BB%9Di-trang-th%E1%BB%83-thao-t%C3%BAi-%C4%91%E1%BB%B1ng-laptop-15-6-inch-181BL2-i.374371631.23927191594?sp_atk=7eab050a-6ec4-4d80-9806-580132fd45ec&xptdk=7eab050a-6ec4-4d80-9806-580132fd45ec,,,1,2023-10-08 15:32:44.739854+07:00
Leacat Balo đựng laptop cỡ 14inch thiết kế thời trang cho nữ,https://shopee.vn/Leacat-Balo-%C4%91%E1%BB%B1ng-laptop-c%E1%BB%A1-14inch-thi%E1%BA%BFt-k%E1%BA%BF-th%E1%BB%9Di-trang-cho-n%E1%BB%AF-i.163313806.19703203409?sp_atk=de05d3df-d132-43dd-90bc-98719782aaf6&xptdk=de05d3df-d132-43dd-90bc-98719782aaf6,4.8,,208,2023-10-08 15:32:49.361768+07:00
Balo Mini Chần Bông SAIGON SWAGGER® NOIR PUFFER BACKPACK,https://shopee.vn/Balo-Mini-Ch%E1%BA%A7n-B%C3%B4ng-SAIGON-SWAGGER%C2%AE-NOIR-PUFFER-BACKPACK-i.25604554.11597877904?sp_atk=deb21b81-8ef1-4156-b27c-e5bcb44674b3&xptdk=deb21b81-8ef1-4156-b27c-e5bcb44674b3,4.9,,1000,2023-10-08 15:32:53.293411+07:00
Balo laptop fuse box TNF,https://shopee.vn/Balo-laptop-fuse-box-TNF-i.280650008.2948046120?sp_atk=6bd581a3-78dd-41ec-aca3-d2bbd810ba2d&xptdk=6bd581a3-78dd-41ec-aca3-d2bbd810ba2d,4.8,,139,2023-10-08 15:32:57.938401+07:00
Balo chống nước Fuse Box 12 mầu the north face,https://shopee.vn/Balo-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-Fuse-Box-12-m%E1%BA%A7u-the-north-face-i.275229914.3738664794?sp_atk=2746b98d-f85e-46d0-8be3-739bcf5823a5&xptdk=2746b98d-f85e-46d0-8be3-739bcf5823a5,5.0,,136,2023-10-08 15:33:01.756247+07:00
Balo đựng laptop cao cấp có cống sạc USB J.Qmei - Oz165,https://shopee.vn/Balo-%C4%91%E1%BB%B1ng-laptop-cao-c%E1%BA%A5p-c%C3%B3-c%E1%BB%91ng-s%E1%BA%A1c-USB-J.Qmei-Oz165-i.14293052.16416414508?sp_atk=f1856bcc-58a6-41de-84c0-6063438d7125&xptdk=f1856bcc-58a6-41de-84c0-6063438d7125,4.9,,263,2023-10-08 15:33:05.498674+07:00
Balo OZUKO chống nước có cổng sạc USB,https://shopee.vn/Balo-OZUKO-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-c%C3%B3-c%E1%BB%95ng-s%E1%BA%A1c-USB-i.552140143.13322992226?sp_atk=056ec811-ae62-4e4f-86e2-67530cf886fc&xptdk=056ec811-ae62-4e4f-86e2-67530cf886fc,4.9,,633,2023-10-08 15:33:10.365595+07:00
Balo Da Laptop 14 Inch Chất Liệu Sang Trọng Thời Trang Kim Long KL630,https://shopee.vn/Balo-Da-Laptop-14-Inch-Ch%E1%BA%A5t-Li%E1%BB%87u-Sang-Tr%E1%BB%8Dng-Th%E1%BB%9Di-Trang-Kim-Long-KL630-i.230023756.18669784352?sp_atk=6becf94b-f210-4137-8d49-8138b55e22c3&xptdk=6becf94b-f210-4137-8d49-8138b55e22c3,5.0,,514,2023-10-08 15:33:14.076443+07:00
"cặp ATTACK ON TITAN, áo balo đội trinh sát trong ATTACK ON TITAN phản quang-may 3 lớp 4 ngăn ( có ngăn đựng laptop)",https://shopee.vn/c%E1%BA%B7p-ATTACK-ON-TITAN-%C3%A1o-balo-%C4%91%E1%BB%99i-trinh-s%C3%A1t-trong-ATTACK-ON-TITAN-ph%E1%BA%A3n-quang-may-3-l%E1%BB%9Bp-4-ng%C4%83n-(-c%C3%B3-ng%C4%83n-%C4%91%E1%BB%B1ng-laptop)-i.123632050.8822800726?sp_atk=794885f8-4d5b-4e5e-a49a-8dd31a7658fd&xptdk=794885f8-4d5b-4e5e-a49a-8dd31a7658fd,4.9,,183,2023-10-08 15:33:17.878382+07:00
Cặp văn phòng 1 -2 đa năng đeo chéo Balo chống sốc laptop chất Dù cao cấp 10 kiểu mẫu GSR H991 {Hình thật},https://shopee.vn/C%E1%BA%B7p-v%C4%83n-ph%C3%B2ng-1-2-%C4%91a-n%C4%83ng-%C4%91eo-ch%C3%A9o-Balo-ch%E1%BB%91ng-s%E1%BB%91c-laptop-ch%E1%BA%A5t-D%C3%B9-cao-c%E1%BA%A5p-10-ki%E1%BB%83u-m%E1%BA%ABu-GSR-H991-H%C3%ACnh-th%E1%BA%ADt--i.67830099.21351596864?sp_atk=9d5d96b6-1cae-4abf-bf4b-e436a32ab7f4&xptdk=9d5d96b6-1cae-4abf-bf4b-e436a32ab7f4,4.7,,51,2023-10-08 15:33:21.514711+07:00
Balo BAMA Border Mini Backpack,https://shopee.vn/Balo-BAMA-Border-Mini-Backpack-i.63351086.18865709544?sp_atk=ae1bda58-090e-4b30-bb19-c30809bf0077&xptdk=ae1bda58-090e-4b30-bb19-c30809bf0077,4.8,,529,2023-10-08 15:33:25.222394+07:00
"Balo Đựng Laptop Siêu Nhẹ GENOO Chất Liệu Microfiber Cao Cấp Chống Nước Kiểu Dáng Ultra Slim Siêu Mỏng, Siêu Nhẹ",https://shopee.vn/Balo-%C4%90%E1%BB%B1ng-Laptop-Si%C3%AAu-Nh%E1%BA%B9-GENOO-Ch%E1%BA%A5t-Li%E1%BB%87u-Microfiber-Cao-C%E1%BA%A5p-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-Ki%E1%BB%83u-D%C3%A1ng-Ultra-Slim-Si%C3%AAu-M%E1%BB%8Fng-Si%C3%AAu-Nh%E1%BA%B9-i.323534796.20650013008?sp_atk=2f18f25e-f2e4-4b9a-83c5-4425499de9b1&xptdk=2f18f25e-f2e4-4b9a-83c5-4425499de9b1,5.0,,152,2023-10-08 15:33:29.930241+07:00
"Balo thời trang nam nữ đi học, đi chơi đựng được laptop BALO 4.0",https://shopee.vn/Balo-th%E1%BB%9Di-trang-nam-n%E1%BB%AF-%C4%91i-h%E1%BB%8Dc-%C4%91i-ch%C6%A1i-%C4%91%E1%BB%B1ng-%C4%91%C6%B0%E1%BB%A3c-laptop-BALO-4.0-i.64669559.2354523211?sp_atk=888c3a82-ca72-4de6-a215-7d220620ec40&xptdk=888c3a82-ca72-4de6-a215-7d220620ec40,4.9,,8000,2023-10-08 15:33:34.646891+07:00
"Balo nam, nữ đi học rẻ đựng vừa laptop 14 inch",https://shopee.vn/Balo-nam-nu%CC%9B%CC%83-%C4%91i-ho%CC%A3c-re%CC%89-%C4%91%E1%BB%B1ng-v%E1%BB%ABa-laptop-14-inch-i.311400757.7557150679?sp_atk=d5dd35df-c79a-423b-97dc-7e1105e3a470&xptdk=d5dd35df-c79a-423b-97dc-7e1105e3a470,4.9,,414,2023-10-08 15:33:39.571514+07:00
"Balo ,Ba Lô Thời Trang Hàn Quốc Unisex Hình BoyMusic Và OnePiece VITAS -VT176 (Tặng cáp USB)",https://shopee.vn/Balo-Ba-L%C3%B4-Th%E1%BB%9Di-Trang-H%C3%A0n-Qu%E1%BB%91c-Unisex-H%C3%ACnh-BoyMusic-V%C3%A0-OnePiece-VITAS-VT176-(T%E1%BA%B7ng-c%C3%A1p-USB)-i.142265968.16689357173?sp_atk=8dbd39fa-fd10-42dd-a228-114be4aa37d4&xptdk=8dbd39fa-fd10-42dd-a228-114be4aa37d4,4.8,₫260.000,137,2023-10-08 15:33:43.416975+07:00
"Balo chống sốc Laptop Macbook thời trang Hàn Quốc 2022, PKC-BL04",https://shopee.vn/Balo-ch%E1%BB%91ng-s%E1%BB%91c-Laptop-Macbook-th%E1%BB%9Di-trang-H%C3%A0n-Qu%E1%BB%91c-2022-PKC-BL04-i.15437713.20702112267?sp_atk=90bdf919-e851-4bfe-a539-7819ded8c41b&xptdk=90bdf919-e851-4bfe-a539-7819ded8c41b,5.0,,88,2023-10-08 15:33:47.113216+07:00
Ba Lô Đựng Laptop 14 15.6 inch Chống Thấm Nước Chất Lượng Cao Dành Cho Nữ,https://shopee.vn/Ba-L%C3%B4-%C4%90%E1%BB%B1ng-Laptop-14-15.6-inch-Ch%E1%BB%91ng-Th%E1%BA%A5m-N%C6%B0%E1%BB%9Bc-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-Cao-D%C3%A0nh-Cho-N%E1%BB%AF-i.780820401.14785851001?sp_atk=0631ddeb-7270-4229-8f65-a29bec98c460&xptdk=0631ddeb-7270-4229-8f65-a29bec98c460,4.7,,127,2023-10-08 15:33:51.015005+07:00
FULL DESIGN Ba Lô Đựng Laptop 14 inch Chống Thấm Nước Tiện Lợi,https://shopee.vn/FULL-DESIGN-Ba-L%C3%B4-%C4%90%E1%BB%B1ng-Laptop-14-inch-Ch%E1%BB%91ng-Th%E1%BA%A5m-N%C6%B0%E1%BB%9Bc-Ti%E1%BB%87n-L%E1%BB%A3i-i.837814378.21433793217?sp_atk=0f961e0d-a3b8-4861-a305-e098ef10bce4&xptdk=0f961e0d-a3b8-4861-a305-e098ef10bce4,4.8,,34,2023-10-08 15:33:54.627577+07:00
,https://shopee.vn/Balo-leo-n%C3%BAi-CAMEL-thi%E1%BA%BFt-k%E1%BA%BF-si%C3%AAu-nh%E1%BA%B9-s%E1%BB%AD-d%E1%BB%A5ng-khi-%C4%91i-du-l%E1%BB%8Bch-i.264049024.3759723707?sp_atk=a800993b-f67f-49b8-bf97-e34944bdca8a&xptdk=a800993b-f67f-49b8-bf97-e34944bdca8a,,,,2023-10-08 15:33:59.544057+07:00
,https://shopee.vn/Balo-%C4%90%E1%BB%B1ng-Laptop-C%E1%BB%A1-%C4%90%E1%BA%A1i-5509-i.158011666.13151172191?sp_atk=9705df67-3d99-4fc4-8555-61e6d492d769&xptdk=9705df67-3d99-4fc4-8555-61e6d492d769,,,,2023-10-08 15:34:04.208731+07:00
,https://shopee.vn/%E2%9A%A1%EF%B8%8F-(GI%C3%81-R%E1%BA%BA-NH%E1%BA%A4T-SHOPEE)-Balo-Ph%E1%BA%A3n-Quang-3D-Diamond-HOTRENDY-2020-UNISEX-(%E1%BA%A3nh-th%E1%BA%ADt)-CAM-K%E1%BA%BET-CH%E1%BA%A4T-L%C6%AF%E1%BB%A2NG-v%E1%BB%9Bi-KH-i.158011666.2406696735?sp_atk=bf1e9428-9385-4983-9889-87928841bd66&xptdk=bf1e9428-9385-4983-9889-87928841bd66,,,,2023-10-08 15:34:07.895995+07:00
